Date,SPX_Close,VIX_Today,SPX_Return_Pct,fgi_value,Vol_Level
2022-06-28,3821.550048828125,28.360000610351562,-2.01,10,Level_2 (High >2%)
2022-06-29,3818.830078125,28.15999984741211,-0.07,13,Normal
2022-06-30,3785.3798828125,28.709999084472656,-0.88,11,Normal
2022-07-01,3825.330078125,26.700000762939453,1.06,11,Normal
2022-07-05,3831.389892578125,27.540000915527344,0.16,19,Normal
2022-07-06,3845.080078125,26.729999542236328,0.36,18,Normal
2022-07-07,3902.6201171875,26.079999923706055,1.5,18,Normal
2022-07-08,3899.3798828125,24.639999389648438,-0.08,20,Normal
2022-07-11,3854.429931640625,26.170000076293945,-1.15,22,Normal
2022-07-12,3818.800048828125,27.290000915527344,-0.92,16,Normal
2022-07-13,3801.780029296875,26.81999969482422,-0.45,15,Normal
2022-07-14,3790.3798828125,26.399999618530273,-0.3,18,Normal
2022-07-15,3863.159912109375,24.229999542236328,1.92,15,Normal
2022-07-18,3830.85009765625,25.299999237060547,-0.84,20,Normal
2022-07-19,3936.68994140625,24.5,2.76,30,Level_2 (High >2%)
2022-07-20,3959.89990234375,23.8799991607666,0.59,31,Normal
2022-07-21,3998.949951171875,23.110000610351562,0.99,34,Normal
2022-07-22,3961.6298828125,23.030000686645508,-0.93,33,Normal
2022-07-25,3966.840087890625,23.360000610351562,0.13,30,Normal
2022-07-26,3921.050048828125,24.690000534057617,-1.15,26,Normal
2022-07-27,4023.610107421875,23.239999771118164,2.62,28,Level_2 (High >2%)
2022-07-28,4072.429931640625,22.329999923706055,1.21,32,Normal
2022-07-29,4130.2900390625,21.329999923706055,1.42,39,Normal
2022-08-01,4118.6298828125,22.84000015258789,-0.28,33,Normal
2022-08-02,4091.18994140625,23.93000030517578,-0.67,31,Normal
2022-08-03,4155.169921875,21.950000762939453,1.56,34,Normal
2022-08-04,4151.93994140625,21.440000534057617,-0.08,30,Normal
2022-08-05,4145.18994140625,21.149999618530273,-0.16,31,Normal
2022-08-08,4140.06005859375,21.290000915527344,-0.12,30,Normal
